Gene,H1,H2,H3,H4,I1,I2,I3,I4
gene:ENSG00000168398,3,3,0,0,0,0,0,0
gene:ENSG00000258691,266,169,199,283,212,129,116,276
gene:ENSG00000100739,68,54,56,75,38,57,38,101
gene:ENSG00000066739,2027,1701,2520,2915,2792,1490,1458,1579
gene:ENSG00000100744,748,569,933,1103,1146,582,533,758
gene:ENSG00000140057,2144,1923,2117,2637,2253,1053,1155,2869
gene:ENSG00000090060,4764,3952,8153,7100,14949,5414,4641,5323
gene:ENSG00000100749,2472,1735,2746,2766,3422,1834,1533,2386
gene:ENSG00000280070,60,67,65,87,69,39,32,86
gene:ENSG00000176605,111,114,98,156,101,75,82,157
gene:ENSG00000278990,3,14,11,17,10,7,3,5
gene:ENSG00000127152,4205,5155,12372,7917,12759,2712,4279,3410
gene:ENSG00000183576,2722,1926,2862,3727,4207,1803,1899,2634
gene:ENSG00000090061,2620,2080,3196,3361,4181,1748,1991,2574
gene:ENSG00000205476,1627,1466,1630,1977,1752,1246,1005,2045
gene:ENSG00000182218,578,537,609,655,551,466,351,709
gene:ENSG00000036530,782,796,733,1138,874,604,525,1203
gene:ENSG00000066629,3398,2600,2902,3903,3090,1974,1806,4004
gene:ENSG00000196405,9238,8259,16854,14799,15665,4869,5518,6447
gene:ENSG00000168350,179,202,237,260,279,185,212,216
gene:ENSG00000100811,4460,4753,7972,8174,10656,3575,3449,4836
gene:ENSG00000197119,709,281,388,896,596,258,280,581
gene:ENSG00000140107,165,87,119,173,127,56,94,208
gene:ENSG00000140105,5451,3014,3612,4154,8052,6217,3763,17787
gene:ENSG00000176473,2982,2282,2736,3204,2975,1902,1668,3330
gene:ENSG00000183092,893,733,773,985,818,472,431,1034
gene:ENSG00000185559,191,120,172,197,152,138,123,190
gene:ENSG00000254656,342,285,356,387,357,253,205,477
gene:ENSG00000197406,39,21,68,18,39,29,20,35
gene:ENSG00000078304,9863,8588,14650,17810,15265,5308,5624,7071
gene:ENSG00000197102,8434,6459,11255,11840,13087,7058,6847,7344
gene:ENSG00000080824,11614,10382,17881,19507,59059,16603,18107,12780
gene:ENSG00000140153,2197,1809,2542,3155,3086,1312,1366,2308
gene:ENSG00000080823,1387,1151,1268,1698,1500,801,906,1817
gene:ENSG00000022976,959,769,1289,1325,1416,595,636,915
gene:ENSG00000100865,820,668,1043,1071,1502,692,605,1254
gene:ENSG00000196663,3563,2674,3479,4096,3729,2179,2049,4163
gene:ENSG00000156381,165,161,118,213,313,133,193,194
gene:ENSG00000089902,4152,2965,3821,4260,5189,2294,2607,4434
gene:ENSG00000131323,4426,3442,4933,5389,7290,2687,2348,4959
gene:ENSG00000166126,97,113,199,196,177,106,90,122
gene:ENSG00000198752,2365,2123,2887,2799,2790,2313,1898,3476
gene:ENSG00000283071,90,71,110,117,89,64,75,75
gene:ENSG00000205436,145,149,144,147,160,124,88,178
gene:ENSG00000185215,5507,2579,2904,1196,2737,1551,957,6570
gene:ENSG00000100664,5815,3097,6009,6494,11446,4136,3923,4903
gene:ENSG00000075413,5120,4056,6415,6978,9189,3512,3538,5336
gene:ENSG00000166165,188,112,126,210,73,49,40,160
gene:ENSG00000166166,240,191,394,407,426,174,214,230
gene:ENSG00000166170,1224,972,1965,2239,2803,994,1160,1002
gene:ENSG00000126214,1607,1227,2092,2258,2908,1152,1021,1419
gene:ENSG00000256053,0,0,0,0,0,0,0,0
gene:ENSG00000256500,0,0,0,0,0,0,0,0
gene:ENSG00000126215,305,335,354,349,572,375,298,282
gene:ENSG00000100711,499,524,620,637,769,410,397,763
gene:ENSG00000088808,2798,2235,3115,3795,3172,1324,1569,3004
gene:ENSG00000156411,1506,1144,1726,1591,2933,1459,1491,2262
gene:ENSG00000156414,2250,1661,1857,2359,2282,1342,1341,2539
gene:ENSG00000227729,31,13,17,24,16,9,19,17
gene:ENSG00000166183,333,315,346,381,397,343,276,419
gene:ENSG00000066735,462,448,390,548,585,412,329,540
gene:ENSG00000258986,1748,1453,1531,1848,1670,1356,1032,1858
gene:ENSG00000184601,118,109,89,98,122,124,69,138
gene:ENSG00000203485,692,803,1302,870,1376,817,816,807
gene:ENSG00000185100,239,203,378,290,290,192,168,270
gene:ENSG00000184990,1321,1097,1867,1660,2606,1166,945,1289
gene:ENSG00000142208,1296,979,1427,1650,1763,1003,847,1281
gene:ENSG00000179627,74,47,65,74,116,71,80,63
gene:ENSG00000279140,36,13,43,27,74,13,21,16
gene:ENSG00000099814,348,319,340,334,387,320,261,428
gene:ENSG00000166428,315,384,323,333,234,183,177,245
gene:ENSG00000185567,498,404,474,492,522,329,290,593
gene:ENSG00000140104,637,609,667,803,733,402,286,805
gene:ENSG00000170779,434,326,451,567,748,419,326,378
gene:ENSG00000183484,1170,748,1085,1393,1777,532,865,1097
gene:ENSG00000280244,47,35,21,42,47,11,18,41
gene:ENSG00000184916,283,249,305,375,380,291,196,369
gene:ENSG00000183828,257,168,242,360,277,165,130,364
gene:ENSG00000185024,2297,1698,2577,2789,2699,1368,1260,2483
gene:ENSG00000184887,408,450,875,1192,1206,468,312,411
gene:ENSG00000179364,2210,1764,2169,2445,2589,1329,1295,2336
gene:ENSG00000279495,0,0,0,0,0,0,0,0
gene:ENSG00000226174,492,340,401,550,521,272,277,458
gene:ENSG00000182979,789,651,1264,1007,1224,580,519,737
gene:ENSG00000182809,165,138,617,354,914,137,40,191
gene:ENSG00000213145,27,10,22,20,19,9,10,15
gene:ENSG00000257341,13,7,19,13,5,7,9,11
gene:ENSG00000185347,222,218,233,362,529,237,197,170
gene:ENSG00000184986,33,23,66,37,93,45,52,25
gene:ENSG00000211890,380,597,2110,4852,13339,12929,5558,677
gene:ENSG00000211891,51,45,45,36,67,206,38,33
gene:ENSG00000211892,760,945,941,2253,94381,108889,8743,1552
gene:ENSG00000211893,378,579,1995,5989,40746,52133,24930,3638
gene:ENSG00000211895,862,2890,7419,17899,49593,40015,15980,2306
gene:ENSG00000211896,678,1314,2204,4865,140587,184208,46415,4706
gene:ENSG00000211897,453,648,1368,2974,50404,47139,16300,2572
gene:ENSG00000211898,557,1352,1138,1133,964,2048,4981,773
gene:ENSG00000211899,4692,16976,20045,24838,262677,389342,9147,8279
gene:ENSG00000211900,13,8,0,3,13,1611,72,4
gene:ENSG00000242472,0,2,6,2,28,87,8,4
gene:ENSG00000240041,3,3,0,0,38,56,9,5
gene:ENSG00000242887,1,1,2,1,7,33,11,3
gene:ENSG00000211904,1,3,2,9,30,38,6,1
gene:ENSG00000211905,0,3,2,1,17,8,9,2
gene:ENSG00000236597,0,1,0,2,4,6,0,0
gene:ENSG00000211907,1,5,4,1,0,1,0,1
gene:ENSG00000225825,0,2,3,1,1,0,0,1
gene:ENSG00000211909,5,0,0,1,0,0,0,0
gene:ENSG00000227196,0,0,0,0,1,2,0,0
gene:ENSG00000211911,2,2,0,0,0,1,0,0
gene:ENSG00000211912,0,2,0,2,0,1,0,0
gene:ENSG00000237020,1,0,0,0,0,0,0,0
gene:ENSG00000211914,0,3,4,1,0,3,0,1
gene:ENSG00000211915,0,1,2,0,2,0,0,1
gene:ENSG00000227800,5,0,0,0,0,1,1,0
gene:ENSG00000211917,0,3,6,3,3,3,0,1
gene:ENSG00000211918,0,0,2,3,0,0,0,0
gene:ENSG00000227108,0,0,0,0,0,0,0,2
gene:ENSG00000211920,1,0,0,0,1,1,1,1
gene:ENSG00000211921,0,0,0,0,0,0,0,0
gene:ENSG00000232543,0,0,0,0,1,0,0,0
gene:ENSG00000211923,0,2,3,0,0,0,1,0
gene:ENSG00000211924,0,4,0,3,4,2,2,0
gene:ENSG00000211925,1,0,0,0,1,1,1,0
gene:ENSG00000237197,0,0,0,0,0,0,0,0
gene:ENSG00000228131,0,0,3,0,0,0,0,1
gene:ENSG00000211928,0,1,1,1,0,1,0,0
gene:ENSG00000233655,0,0,0,0,1,0,0,0
gene:ENSG00000211930,0,0,0,1,10,18,0,3
gene:ENSG00000211931,2,0,0,2,2,1,0,0
gene:ENSG00000236170,0,0,1,0,3,1,0,2
gene:ENSG00000211933,34,20,26,12,392,558,24,8
gene:ENSG00000211934,9,24,38,27,245,549,25,10
gene:ENSG00000211935,9,27,37,14,485,541,29,5
gene:ENSG00000276775,5,11,9,21,221,145,107,10
gene:ENSG00000282122,7,10,8,6,392,1303,6,3
gene:ENSG00000211937,15,3,9,11,572,748,9,10
gene:ENSG00000211938,7,84,30,51,885,2030,186,26
gene:ENSG00000282639,5,1,3,9,29,471,24,22
gene:ENSG00000282651,6,3,7,7,220,62,56,29
gene:ENSG00000211941,19,31,16,28,297,719,156,15
gene:ENSG00000211942,5,2,6,16,468,1135,11,4
gene:ENSG00000211943,11,39,21,57,1812,1738,276,88
gene:ENSG00000211944,0,1,4,10,56,80,8,8
gene:ENSG00000211945,11,27,166,29,644,1536,71,50
gene:ENSG00000211946,10,27,17,16,525,853,58,11
gene:ENSG00000211947,11,301,43,56,816,2237,137,47
gene:ENSG00000211949,8,44,73,106,1596,3020,201,116
gene:ENSG00000211950,12,12,7,16,287,1807,21,15
gene:ENSG00000211951,1,6,2,4,40,16,3,1
gene:ENSG00000211952,5,15,11,9,64,260,29,10
gene:ENSG00000270550,6,59,46,52,1544,7171,308,40
gene:ENSG00000231475,18,12,4,4,114,314,26,8
gene:ENSG00000211955,14,68,33,89,1615,4294,234,35
gene:ENSG00000211956,7,31,45,94,337,490,201,28
gene:ENSG00000211957,5,13,6,7,23,31,7,6
gene:ENSG00000211958,1,3,5,6,26,34,1,9
gene:ENSG00000211959,10,5,24,19,463,1027,45,9
gene:ENSG00000232216,7,2,11,24,118,244,10,2
gene:ENSG00000211961,5,1,1,17,19,3,2,3
gene:ENSG00000211962,9,20,21,11,761,745,23,14
gene:ENSG00000211964,10,45,24,33,543,2105,166,27
gene:ENSG00000211965,3,17,16,20,329,758,28,6
gene:ENSG00000211966,15,42,30,33,1042,1671,55,34
gene:ENSG00000211967,8,4,21,83,608,961,19,18
gene:ENSG00000211968,4,10,31,12,12,8,2,4
gene:ENSG00000224373,20,20,28,89,234,1163,33,20
gene:ENSG00000211970,8,19,18,89,203,835,38,28
gene:ENSG00000223648,5,5,5,1,130,863,31,7
gene:ENSG00000211972,6,8,12,25,306,879,7,2
gene:ENSG00000211973,16,23,27,64,429,266,23,16
gene:ENSG00000211974,2,0,3,17,36,166,26,2
gene:ENSG00000281990,11,5,3,9,71,207,61,4
gene:ENSG00000280411,7,40,29,48,476,211,10,20
gene:ENSG00000274576,2,7,4,4,73,375,25,7
gene:ENSG00000225698,2,8,7,11,325,194,47,3
gene:ENSG00000211976,3,6,12,11,159,840,10,14
gene:ENSG00000224650,7,9,19,28,675,924,16,14
gene:ENSG00000211979,5,2,3,10,13,12,2,7
gene:ENSG00000188403,20,3,4,3,6,3,0,5
gene:ENSG00000259490,1,5,2,9,10,22,2,3
gene:ENSG00000270961,0,0,2,2,3,0,0,3
gene:ENSG00000271317,0,0,0,0,0,0,0,0
gene:ENSG00000282520,2,1,1,1,2,6,3,3
gene:ENSG00000282599,4,0,2,2,3,0,1,0
gene:ENSG00000271336,0,0,0,2,0,0,0,3
gene:ENSG00000278935,42,35,55,90,44,56,35,59
gene:ENSG00000277322,238,233,242,320,222,142,131,289
gene:ENSG00000279628,60,73,50,132,69,64,59,134
gene:ENSG00000230031,112,100,138,225,88,97,86,201
gene:ENSG00000270824,0,0,2,5,0,0,4,0
gene:ENSG00000270451,0,0,0,0,0,1,0,0
gene:ENSG00000282089,1,0,0,0,0,0,0,1
gene:ENSG00000282268,0,0,0,0,1,1,0,0
gene:ENSG00000270185,0,1,0,0,0,2,0,4
gene:ENSG00000279595,24,46,58,90,48,45,40,61
gene:ENSG00000278522,108,151,168,287,140,117,105,245
gene:ENSG00000280709,392,553,361,707,455,410,422,821
gene:ENSG00000182974,0,0,0,0,0,0,0,0
gene:ENSG00000279408,0,0,0,0,0,0,0,0
gene:ENSG00000281179,17,53,65,135,109,114,97,45
gene:ENSG00000278263,1,8,0,11,68,102,44,6
gene:ENSG00000233917,90,123,160,239,102,105,121,214
gene:ENSG00000285472,250,335,216,425,190,224,258,463
gene:ENSG00000274102,0,0,0,0,0,0,0,0
gene:ENSG00000183706,0,0,0,0,0,0,0,0
gene:ENSG00000270505,19,58,75,107,109,94,102,33
gene:ENSG00000259261,5,6,0,11,60,57,36,7
gene:ENSG00000277865,222,250,241,374,229,173,170,334
gene:ENSG00000170113,1465,1161,1548,2000,1980,863,1086,1664
gene:ENSG00000140157,1678,1091,1995,2169,3247,1873,1378,1745
gene:ENSG00000273749,3500,2128,2704,2490,3504,2480,2481,4565
gene:ENSG00000275835,1534,1354,1847,1604,1827,880,799,1564
gene:ENSG00000273976,213,255,219,345,180,133,135,317
gene:ENSG00000261739,201,159,201,323,241,165,150,230
gene:ENSG00000174450,172,177,219,349,312,121,144,304
gene:ENSG00000179455,1122,859,1121,1503,1137,692,604,1370
gene:ENSG00000254585,12,26,12,25,18,18,22,25
gene:ENSG00000182636,29,23,21,50,42,33,17,70
gene:ENSG00000185823,116,70,94,90,65,80,84,101
gene:ENSG00000128739,2784,2163,2330,2941,2805,1438,1456,3622
gene:ENSG00000273173,0,0,0,0,0,0,0,0
gene:ENSG00000214265,832,712,1981,1129,1967,390,459,542
gene:ENSG00000279192,0,0,0,0,0,0,0,0
gene:ENSG00000279735,1,0,2,1,6,4,10,10
gene:ENSG00000279050,34,6,44,13,19,30,6,11
gene:ENSG00000280234,28,21,18,28,20,5,17,38
gene:ENSG00000114062,3994,2898,5186,5513,7295,2668,2850,3457
gene:ENSG00000206190,4322,3402,5774,5879,6025,2896,4247,4602
gene:ENSG00000166206,6602,4958,5987,6543,6287,3646,3357,7587
gene:ENSG00000186297,1435,1062,1182,1409,1231,945,688,1629
gene:ENSG00000182256,8100,6681,7523,8860,7804,5380,4696,9767
gene:ENSG00000104044,4455,3493,4140,4747,4460,2948,2615,5408
gene:ENSG00000128731,4765,3609,5672,6330,5897,4296,3648,4988
gene:ENSG00000153684,209,151,189,224,197,150,112,222
gene:ENSG00000183629,222,155,236,241,175,119,130,200
gene:ENSG00000188626,703,599,892,948,863,334,373,922
gene:ENSG00000261649,216,201,295,268,172,89,100,314
gene:ENSG00000034053,5696,3864,6780,7161,6747,2870,4033,5128
gene:ENSG00000104059,6893,5314,6417,7260,6558,4246,3876,8233
gene:ENSG00000185115,0,0,0,0,0,0,0,0
gene:ENSG00000104067,3982,3259,3733,4496,3765,2424,2264,4603
gene:ENSG00000179938,205,149,255,328,267,131,146,281
gene:ENSG00000261247,219,162,220,333,238,124,156,292
gene:ENSG00000279417,120,100,108,96,123,60,58,134
gene:ENSG00000166664,650,411,471,516,619,343,336,717
gene:ENSG00000186399,276,197,323,611,457,167,248,291
gene:ENSG00000178115,222,181,337,553,415,150,228,288
gene:ENSG00000261794,196,170,244,295,253,158,114,312
gene:ENSG00000285077,0,0,0,2,3,0,0,0
gene:ENSG00000284906,676,591,658,791,1056,375,469,859
gene:ENSG00000198690,1512,1208,2246,2334,2807,1121,1202,1408
gene:ENSG00000166912,1778,1217,1798,1987,2302,1182,1038,2001
gene:ENSG00000134160,2723,2417,2573,3407,2847,1666,1686,3328
gene:ENSG00000169926,7378,6126,10174,12143,12167,6367,4621,7057
gene:ENSG00000169918,6013,5072,5592,7089,6137,3756,3621,6908
gene:ENSG00000175344,4062,2970,3450,4312,3740,2410,2248,4525
gene:ENSG00000279912,82,38,84,94,83,53,46,121
gene:ENSG00000249931,218,146,203,295,274,137,150,273
gene:ENSG00000206127,498,302,488,1405,787,203,385,404
gene:ENSG00000232653,660,315,612,1309,799,273,478,431
gene:ENSG00000198826,461,303,482,550,1576,958,645,460
gene:ENSG00000166922,959,837,858,1229,1132,588,583,1129
gene:ENSG00000166923,665,519,586,717,742,689,517,720
gene:ENSG00000248905,7231,5210,5949,7275,8068,4046,5082,8090
gene:ENSG00000279958,0,0,0,0,0,0,0,0
gene:ENSG00000198838,9067,7456,8478,10382,9203,5265,4990,10707
gene:ENSG00000169857,2813,2211,2752,3411,3352,1862,1714,3192
gene:ENSG00000184984,2330,1906,2193,2507,2525,1131,1225,2804
gene:ENSG00000134153,1163,920,1299,1632,2601,1574,1124,1248
gene:ENSG00000182405,253,167,410,273,427,165,144,304
gene:ENSG00000134152,1872,1562,2099,2247,2474,973,1119,1978
gene:ENSG00000128463,1192,1348,1768,1817,2643,1656,1129,1195
gene:ENSG00000140199,4223,2913,4883,4242,5981,2612,2616,4405
gene:ENSG00000182117,679,500,967,747,2187,1071,894,1283
gene:ENSG00000184507,562,462,457,611,524,234,215,586
gene:ENSG00000176454,453,335,636,808,863,453,398,480
gene:ENSG00000175265,3810,3384,7995,7155,6863,2073,2039,2161
gene:ENSG00000279092,0,0,0,0,0,0,0,0
gene:ENSG00000215252,3962,4348,8993,7549,7152,2022,1781,2292
gene:ENSG00000159248,60,35,37,30,34,28,24,45
gene:ENSG00000159251,28,38,43,59,74,43,31,67
gene:ENSG00000021776,3120,2312,3763,3896,4681,1984,2193,2724
gene:ENSG00000198146,1108,842,2411,1887,3091,970,977,641
gene:ENSG00000279364,25,29,45,34,53,23,19,20
gene:ENSG00000280396,1,8,0,1,4,3,2,0
gene:ENSG00000255192,40,16,34,44,26,14,9,41
gene:ENSG00000134146,5067,3899,5070,5494,4965,2560,2690,5236
gene:ENSG00000186073,4004,3280,4279,4634,5199,3096,2718,4587
gene:ENSG00000134138,3688,2544,3004,3567,3204,2057,1887,3554
gene:ENSG00000166069,835,708,609,892,760,463,442,842
gene:ENSG00000166068,1440,901,1026,1347,1048,562,637,1343
gene:ENSG00000171262,913,1243,1345,1288,2109,828,682,780
gene:ENSG00000172575,3618,4030,8287,6129,10599,3287,3253,2339
gene:ENSG00000137801,559,655,259,345,1129,834,1600,3557
gene:ENSG00000150667,2378,1970,2072,2799,2357,1452,1417,2774
gene:ENSG00000166073,1572,1191,1655,1828,1489,981,861,1774
gene:ENSG00000128829,2773,1980,2873,2984,3730,1913,2080,2613
gene:ENSG00000140319,2259,3408,4223,4093,7857,3484,3068,3684
gene:ENSG00000104081,1372,825,869,801,1012,853,551,1144
gene:ENSG00000156970,833,547,675,880,1158,723,512,815
gene:ENSG00000137843,193,167,319,349,184,140,138,245
gene:ENSG00000259288,0,0,0,0,0,0,0,0
gene:ENSG00000279537,0,0,0,0,0,0,0,0
gene:ENSG00000279409,0,0,0,0,0,0,0,0
gene:ENSG00000137841,4001,2670,3999,4585,4466,2095,2233,3656
gene:ENSG00000230778,0,0,0,0,0,0,0,0
gene:ENSG00000259330,524,460,355,369,619,400,816,803
gene:ENSG00000188549,119,127,176,101,179,103,107,167
gene:ENSG00000233041,80,71,72,108,82,45,51,97
gene:ENSG00000140323,520,412,480,614,537,265,273,617
gene:ENSG00000128944,344,212,235,374,548,331,248,335
gene:ENSG00000128928,1971,1504,2371,2518,2903,1317,1250,1512
gene:ENSG00000140320,1304,1021,1681,2053,1916,793,759,1165
gene:ENSG00000169105,160,150,230,308,246,133,114,122
gene:ENSG00000128891,1457,1360,2263,2438,2906,1613,1215,1780
gene:ENSG00000166133,261,314,522,619,570,245,213,345
gene:ENSG00000137812,1614,1591,1823,2171,3131,1304,1206,1956
gene:ENSG00000051180,731,757,750,1011,1267,636,603,922
gene:ENSG00000137824,1196,820,1127,1963,1650,842,832,960
gene:ENSG00000137880,376,301,519,615,619,325,270,391
gene:ENSG00000104129,953,913,1306,1383,1275,690,589,1233
gene:ENSG00000188277,54,30,100,71,89,40,24,63
gene:ENSG00000166140,508,468,785,808,935,509,494,428
gene:ENSG00000166143,279,263,249,395,356,150,205,385
gene:ENSG00000166145,377,288,309,368,381,266,207,488
gene:ENSG00000104140,29,26,23,14,36,13,26,21
gene:ENSG00000104142,651,530,778,1060,968,489,473,780
gene:ENSG00000128917,200,185,214,293,283,124,150,325
gene:ENSG00000128965,39,29,30,58,89,68,24,43
gene:ENSG00000128908,3994,3521,4586,5708,5890,2295,2784,4682
gene:ENSG00000178997,1151,1100,1193,1559,1377,568,599,1722
gene:ENSG00000187446,2875,2207,2585,3189,4031,2104,1913,4186
gene:ENSG00000285920,3102,2479,4956,5087,8448,2282,2336,2748
gene:ENSG00000104147,645,678,657,836,961,420,433,940
gene:ENSG00000137804,1,0,2,3,8,2,6,0
gene:ENSG00000137806,732,714,822,1042,1094,521,511,944
gene:ENSG00000137815,3858,3315,4902,5576,6311,2780,2727,4492
gene:ENSG00000137825,229,275,272,315,291,145,155,283
gene:ENSG00000062524,218,248,414,356,367,272,176,342
gene:ENSG00000103932,857,807,1088,1163,1355,672,683,904
gene:ENSG00000092445,591,511,510,721,667,348,312,878
gene:ENSG00000174197,4857,3568,5682,6221,6614,3153,3224,4060
gene:ENSG00000137802,1945,1468,1982,2320,2190,1134,1165,1725
gene:ENSG00000243789,0,0,0,0,0,0,0,0
gene:ENSG00000168970,4,14,11,12,10,5,5,0
gene:ENSG00000243708,0,0,0,0,0,0,0,0
gene:ENSG00000137877,654,453,696,779,704,500,467,749
gene:ENSG00000103966,2601,1761,2610,2761,4018,2477,2995,2551
gene:ENSG00000188089,1312,979,1050,1337,1234,814,759,1591
gene:ENSG00000159337,370,227,246,321,319,275,222,394
gene:ENSG00000168907,223,201,235,308,255,204,180,272
gene:ENSG00000166887,2197,1710,2589,2596,2838,1668,1555,1830
gene:ENSG00000103978,3575,2760,4118,4713,5366,1836,2157,2959
gene:ENSG00000214013,2042,1638,1838,2338,2145,1013,1306,1999
gene:ENSG00000258461,30,29,90,60,38,23,40,46
gene:ENSG00000092529,8,6,14,15,12,5,7,9
gene:ENSG00000103994,6830,5338,7651,7108,12063,5307,4283,9160
gene:ENSG00000092531,2546,1910,2600,2885,3455,1641,2111,3039
gene:ENSG00000285942,1442,1300,1466,1839,1759,811,722,1847
gene:ENSG00000180979,0,0,0,0,0,0,1,2
gene:ENSG00000137814,865,726,1056,1295,1492,590,599,873
gene:ENSG00000159433,3235,2756,3097,4311,3238,1750,1716,3535
gene:ENSG00000140326,520,473,749,840,774,447,303,487
gene:ENSG00000128881,15758,5683,6481,6824,5946,3878,3249,4909
gene:ENSG00000159459,4584,3205,4999,6400,6623,2493,2917,4535
gene:ENSG00000137842,1547,1114,1535,1945,2136,1054,1054,1684
gene:ENSG00000166946,1376,1295,2319,2320,2674,1406,885,1289
gene:ENSG00000166947,499,389,485,670,704,367,303,612
gene:ENSG00000104055,620,616,688,676,671,406,322,792
gene:ENSG00000159495,392,295,388,459,335,278,232,401
gene:ENSG00000168806,214,182,302,371,315,209,156,284
gene:ENSG00000168803,616,564,758,913,864,370,404,743
gene:ENSG00000140265,937,642,1346,1372,1544,940,763,606
gene:ENSG00000137822,1301,994,1401,1673,2317,1001,1069,1174
gene:ENSG00000067369,2734,2503,3629,3729,4604,2003,1717,2930
gene:ENSG00000166963,488,534,560,505,845,602,797,690
gene:ENSG00000168781,1382,1148,1504,1814,1621,827,669,1670
gene:ENSG00000237289,237,224,334,348,287,205,191,362
gene:ENSG00000242866,258,204,265,359,321,200,181,293
gene:ENSG00000284772,325,294,285,479,367,149,143,456
gene:ENSG00000166762,993,879,1203,1330,1222,539,506,1151
gene:ENSG00000223572,101,109,112,174,147,96,89,151
gene:ENSG00000167004,4162,3144,5144,6911,11124,5388,4864,4418
gene:ENSG00000128886,1,0,1,0,0,0,0,0
gene:ENSG00000262560,956,822,975,1233,1375,1220,784,1124
gene:ENSG00000140264,7308,7669,10922,10235,24591,9561,11166,12787
gene:ENSG00000184716,23,23,23,22,34,9,18,18
gene:ENSG00000242028,0,0,0,0,0,0,0,0
gene:ENSG00000140259,741,555,1056,1046,1500,769,608,741
gene:ENSG00000092470,773,740,971,1082,1666,769,721,910
gene:ENSG00000171877,6043,5570,5920,7691,6575,3373,3676,7497
gene:ENSG00000166734,4801,3724,5056,6028,6764,3020,2970,5076
gene:ENSG00000137770,2977,2487,3775,4223,4724,1795,2158,3101
gene:ENSG00000104131,1311,1222,2041,2156,3346,1506,1520,1517
gene:ENSG00000104133,5077,3837,5670,6473,6142,3200,3061,4584
gene:ENSG00000229474,1937,2281,2291,2979,2806,1333,1162,1687
gene:ENSG00000166710,106836,111248,172852,184351,192716,94771,99596,128949
gene:ENSG00000185880,1437,1328,1610,1845,3147,1961,2084,1962
gene:ENSG00000167014,312,260,313,393,273,179,158,415
gene:ENSG00000140263,1283,1180,1294,1590,1681,964,915,1514
gene:ENSG00000140279,322,309,317,443,431,290,243,436
gene:ENSG00000140274,66,74,42,62,55,45,30,96
gene:ENSG00000140254,273,191,187,253,258,142,136,257
gene:ENSG00000137857,730,812,822,1133,959,544,549,1133
gene:ENSG00000138606,964,776,811,1249,1037,478,549,1218
gene:ENSG00000279014,15,1,17,4,5,6,7,0
gene:ENSG00000137860,365,386,370,436,375,245,226,411
gene:ENSG00000171766,538,467,494,608,544,347,321,607
gene:ENSG00000171763,756,436,695,894,865,382,361,695
gene:ENSG00000166920,476,410,501,651,533,279,299,773
gene:ENSG00000104154,942,782,1074,1377,1227,458,549,983
gene:ENSG00000104164,0,1,8,8,7,1,4,2
gene:ENSG00000260170,428,282,398,531,404,174,202,456
gene:ENSG00000137767,843,537,879,876,1613,807,908,1601
gene:ENSG00000284540,6,7,4,7,15,4,4,14
gene:ENSG00000137872,15308,13325,11245,11023,8365,7603,7236,9496
gene:ENSG00000188467,6430,8346,4213,2862,1020,4162,1784,794
gene:ENSG00000104177,537,513,622,709,691,336,325,499
gene:ENSG00000233932,1,2,0,2,1,2,2,7
gene:ENSG00000074803,1701,1180,1710,1659,1445,758,811,1796
gene:ENSG00000128951,1006,1040,2406,1711,3865,1238,1053,895
gene:ENSG00000166147,3290,2427,2807,3317,2985,1684,1666,3410
gene:ENSG00000103995,1654,1411,1974,2071,2648,1127,1046,1810
gene:ENSG00000185634,2651,2080,2376,2799,2571,1668,1489,2872
gene:ENSG00000255302,3021,3450,5553,5279,6581,2916,2908,3918
gene:ENSG00000138593,3149,2624,4396,4872,5219,2226,2492,2875
gene:ENSG00000166200,1788,1027,2131,2077,3413,1288,1281,1738
gene:ENSG00000156958,3649,2825,3738,4138,4297,2303,2526,3541
gene:ENSG00000166262,3965,3048,3656,4385,4005,2165,2080,4072
gene:ENSG00000140285,587,457,436,547,534,246,334,546
gene:ENSG00000104047,634,589,969,789,1096,545,488,654
gene:ENSG00000104043,5809,3680,4418,5993,5583,3091,3448,5592
gene:ENSG00000140284,1504,1103,1323,1646,1616,709,765,1559
gene:ENSG00000140287,738,539,580,502,485,434,350,706
gene:ENSG00000104064,3079,2329,3807,4242,3932,1605,1681,3147
gene:ENSG00000138592,4275,3074,4760,5064,6092,2451,2449,4130
gene:ENSG00000170236,940,639,884,1028,945,513,506,1113
gene:ENSG00000092439,3889,3102,5450,5702,6793,2332,3054,3858
gene:ENSG00000138600,2336,1795,2289,3073,3582,1376,1449,2653
gene:ENSG00000279665,0,0,0,0,0,0,0,0
gene:ENSG00000081014,2086,1536,2085,2458,2800,1252,1456,2049
gene:ENSG00000183578,741,705,771,902,842,517,587,1023
gene:ENSG00000137869,2165,1807,2139,2635,2263,1488,1455,2539
gene:ENSG00000186417,995,779,891,1085,987,627,605,1140
gene:ENSG00000104093,7389,4059,4202,3298,6096,3359,2533,8822
gene:ENSG00000104112,650,444,569,539,541,259,302,678
gene:ENSG00000140280,1016,694,1256,994,1597,566,654,945
gene:ENSG00000128872,1684,1305,1752,1836,2271,845,800,1819
gene:ENSG00000138594,4832,3888,5585,6693,9197,3067,3456,5637
gene:ENSG00000166477,790,764,1184,1319,1959,972,840,833
gene:ENSG00000069956,3072,2564,3137,3669,4922,2486,2043,3952
gene:ENSG00000137875,82,43,87,93,62,56,63,69
gene:ENSG00000069966,2450,2111,3314,3029,3644,1262,1484,2374
